exercise_name,exercise_alias,primary_muscle_group,secondary_muscle_groups,exercise_type,movement_pattern,equipment_needed,unilateral,metric_type
Push-up,press-up;pushup,Chest,Triceps;Shoulders,Compound,Push_Horizontal,Bodyweight,False,reps_x_weight
Pike Push-up,pike pushup,Pectorals;Shoulders,Triceps,Compound,Push_Vertical,Bodyweight,False,reps_x_weight
Dip,bench dip;triceps dip,Triceps,Chest;Shoulders,Compound,Push_Vertical,Bodyweight,False,reps_x_weight
Plank,front plank,Core,None,Isometric,Hold,Bodyweight,False,duration
Barbell Back Squat,back squat;BB squat,Quadriceps,Hamstrings;Glutes,Compound,Squat,Barbell,False,reps_x_weight
Lunge,forward lunge,Lunge,Glutes;Quads,Compound,Lunge,Bodyweight,True,reps_x_weight
Pull-up,pullup;chin-up,Back;Biceps,None,Compound,Pull_Vertical,Bodyweight,True,reps_x_weight
Dumbbell Row,DB row,row,Dumbbell,None,Compound,Pull_Horizontal,Dumbbell,True,reps_x_weight
Broad Jump,standing broad jump,Broad Jump,Glutes;Quads;Hamstrings,Plyometric,Jump,Bodyweight,False,distance
Box Jump,low box jump;boxjump,Plyometric,Jump,Box;Bodyweight,False,distance
Deadlift,barbell deadlift,Posterior Chain,Back;Hamstrings,Compound,Hinge,Barbell,False,reps_x_weight
Bench Press,barbell bench press;benchpress,Chest,Triceps;Shoulders,Compound,Push_Horizontal,Barbell,False,reps_x_weight
Dynamic Warm-up,warmup,Full Body,None,Warmup,General,Bodyweight,False,duration
Cool-down,cooldown,Full Body,None,Cooldown,General,Bodyweight,False,duration
A-Skip,askip,Full Body,None,Drill,Skip,Bodyweight,False,distance
B-Skip,bskip,Full Body,None,Drill,Skip,Bodyweight,False,distance
High Knees,high knees,Full Body,None,Drill,KneeDrive,Bodyweight,False,distance
Butt Kicks,butt kicks,Full Body,None,Drill,HipFlexion,Bodyweight,False,distance
Ankle Hops,ankle hops,Lower Body,None,Plyometric,Hop,Bodyweight,False,reps_only
Pogo Jumps,pogo jumps,Lower Body,None,Plyometric,Jump,Bodyweight,False,reps_only
Tuck Jumps,tuck jumps,Lower Body,None,Plyometric,Jump,Bodyweight,False,reps_only
